text
massageador
matuto
medroso
meleca
merda
merdinha
mija
mijada
mijado
mijão
mijona
mocorongo
mocreia
moleque
mondrongo
morcegão
mula
mulambo
naba
nhaca
nojeira
nojenta
nojento
nojo
olhota
ordinária
ordinário
otaria
otário
palhaça
palhaçada
palhaço
panaca
pangaré
panqueca
papagaio
parasita
patife
pau-no-cu
pé-de-mesa
pé-de-pano
pé-rapado
peido
peidos
peidões
peidos fedorentos
pelanca
pentelha
pentelho
pequi roído
pereba
perebento
perfumado
pica-pau
picareta
pilantras
pinel
pinguela
pinta
pintinho
pinto
piranha
piranho
piroca
piroquinha
pistoleira
porra
porra-louca
porralouca
prego
prostituta
prostituto
punheteiro
puta
putaria
puteiro
puto
puxa-saco
rampeira
ridícula
ridículo
safadeza
safado
safadona
safanão
salafrário
sapatão
sarna
sifilitico
songa-monga
suburbano
suja
sujo
tarada
tarado
tonta
tonto
tosca
tosco
traíra
traste
trepadeira
trouxa
troxa
urubu
vaca
vadia
vagaba
vagabunda
vagabundo
vândalo
vasilha
veada
veadão
veado
viadagem
viado
viado-bicha
víbora
viciado
xexelento
xibungo
ximbica
xorume
xoxota
zé-boceta
zé-bunda
zé-mané
zé-ninguém
zé-povinho
zé-ruela
zica
zuado
zueira
zuera
zureta
abestado
arigó
baiano
cabeça-chata
caipira
corno
cuscuz
mané
mula
paraíba
pé rapado
quenga
rapariga
aidético
albino
anão
atrasado mental
bichinha
bixa
boiola
crioulo
deficiente
down
gilete
gordinho
gordo
japa
japoronga
macumbeiro
mongolóide
negão
negresco
preto
sapatão
traveco
a puta que pariu
ah vá pra pqp
ah vá tomar no cu
vai cagar
vai dar o cu
vai pra merda
vai se ferrar
vai se foder
vai tomar no cu
vá à merda
vtnc
abobado
abestalhado
aborto
achavascado
acrotomofílico
babaca
babaquice
bacura
baitola
baleia
bambi
bebum
besta
bicha
bichona
biba
bicharoco
bilau
biroska
bisca
bixa
bixinha
boazuda
boceta
boco
boiola
bolagato
boquete
boqueteira
borboleta
bosta
brechó
brioco
bronha
buceta
bucho
bundão
burra
burro
bussunda
cachorra
caga
cagado
cagão
cagona
canalha
capiroto
carai
caraio
caralho
casseta
cassete
chana
checa
chereca
chibumba
chica
chifruda
chifrudo
chochota
chota
chupada
chupado
clitóris
corna
corno
cornuda
cornudo
corrupta
corrupto
cretina
cretino
cruz-credo
cu
culhão
curalho
cuzão
cuzuda
cuzudo
debilóide
debiloide
deficiente
demônio
descarada
desgraça
desgraçado
despacho
desprezível
difícil
égua
endemoniado
enrustida
escrota
escroto
esporrada
esporrado
esporro
estupida
estúpido
fedida
fedido
feia
feio
feiosa
feioso
feioza
feozo
foda
fodão
fode
fodida
fodido
fornica
fudendo
fudecao
fudeção
fudida
fudido
furão
furnica
furnicar
furo
futrica
futriqueiro
galinha
gambiarra
gay
gosmenta
gosmento
gostozao
gostosão
grelinho
grelo
homo-sexual
homossexual
idiota
imbecil
imundo
iscroto
japa
ladra
ladrão
ladroeira
lascar
lezado
lezão
macaca
macaco
machona
machorra
manguaça
masturba
meleca
merda
mija
mijada
mijado
mijo
mocrea
mocreia
moleca
moleque
mondronga
mondrongo
naba
nadega
nojenta
nojento
olhota
otaria
otário
paca
paspalha
paspalhão
paspalho
pau
peia
peido
pemba
penis
pênis
pentelha
pentelho
pepeca
pepeka
pereba
perebenta
perebento
peroca
pica
picao
pilantra
piranha
piroca
piroco
piru
pistoleira
pistoleiro
porra
prega
prostibulo
prostituta
prostituto
punheta
punhetao
puta
puto
puxa-saco
quenga
raba
rabao
rabuda
rabudao
rabudo
racha
rachada
rachadao
rachadinha
rachado
ramela
retardada
retardado
ridicula
ridículo
rola
rolinha
rosca
sacana
sacanagem
sacanagem
safada
safado
sapatao
sapatão
sifilis
siririca
tarada
tarado
testículo
tezao
tezuda
tezudo
trocha
trolha
trouxa
troxa
vaca
vagabunda
vagabundo
vagina
veada
veadao
veado
viada
viadao
viado
xavasca
xerereca
xexeca
xibiu
xibumba
xota
xochota
xoxota
xana
xaninha
69
